Sample	total	multidrug	peptide	tetracycline	quinolone	aminocoumarin	MLS	beta_lactam	aminoglycoside	rifamycin	phosphonic acid	diaminopyrimidine	phenicol
S1068	0.528466368360675	0.525214261466173	0.49335287868228	0.548596799459737	0.458585021362104	0.652343514787849	0.497168419023421	0.574972897042508	0.506162508076178	0.779795590245561	0.42879539330933	0.118147771744928	0.558185174666288
S1069	0.667053055039894	0.50321372687021	0.746146981548939	0.773226095145429	0.717579575396637	0.786790262599715	0.501808732867988	0.76040791081791	0.897265056419743	0.669297579172617	0.484397011918049	0.335564438075845	0.534185557694574
S107	0.60995986577261	0.578921895305321	0.600757665040837	0.650921830105403	0.585039881728773	0.704437738989178	0.562242058142028	0.657058447347245	0.621197472049567	0.74979804698933	0.595030609986969	0.528501329413545	0.59313283522611
S1070	0.581109752135104	0.460777907838759	0.660365155452314	0.70316711189086	0.629399388118911	0.660661457588163	0.458968202768042	0.753759276488024	0.768420546055376	0.695622249845572	0.23135348851036	0.401872145406931	0.495787545787546
S1071	0.674644434375123	0.524289507326188	0.818903762501228	0.743752828111598	0.645211668867687	0.850507732193432	0.418806903111836	0.71793112129912	0.932091217053623	0.678348222774779	0.543814358648937	0.305506600007193	0.299347094902064
S1074	0.661630635490693	0.504635760885508	0.735442889636178	0.74395142633402	0.75196970273665	0.798031535603093	0.449766794718097	0.733364002256627	0.883382133283214	0.677453182459099	0.595339943621991	0.500458295142072	0.694278427784375
S1075	0.511973659882704	0.429489396856178	0.54005953066167	0.483325741843757	0.381556279208829	0.61849207893997	0.597456512883382	0.772637697938903	0.646644574950667	0.69055927852273	0.119477184329726	0.237732592896165	0.535964591082246
S1077	0.718862958766507	0.54429349813956	0.839786118306891	0.829613644398613	0.843684035933542	0.786592926286805	0.670117938984853	0.740187160898311	0.88168313812257	0.694256904203383	0.479124657737779	0.77250735224362	0.58220741217815
S1079	0.685144343592449	0.489319161493955	0.796545253062274	0.822900822675583	0.773832917346302	0.730404666667559	0.515540214696088	0.796078439973272	0.87427881154903	0.689419684576558	0.559313738818347	0	0.528980960235218
S108	0.609472172418283	0.564098612134299	0.599087553529175	0.631908710467218	0.538225604262243	0.695377634156033	0.56599610668567	0.637716972059255	0.725666166896988	0.77378311814815	0.754771839791884	0.203141053292028	0.558947515865668
S1082	0.59452094389758	0.25316383266709	0.683077887597544	0.736226966239076	0.651481779178889	0.745175371419819	0.522361178751597	0.801968661502688	0.907568179265901	0.720879889207105	0.710404004290311	0.51131221719457	0.587328862036472
S1083	0.623575324777782	0.380133353203029	0.768434957804303	0.690167679222357	0.680781460193225	0.720847089413093	0.884786783997188	0.732660422570322	0.829643269004097	0.75433861192031	0.860376701395943	0.247323166774822	0.46452853190791
S1084	0.530012491483443	0.443159810519217	0.606328484817446	0.48887342507657	0.614101265796984	0.695689514683354	0.376546860353905	0.769451202835111	0.760374742788947	0.675525164750274	0.359350409381454	0.572214038365291	0.474812165853609
S1085	0.6983654462754	0.516677671131868	0.843504310501536	0.786912410631754	0.78180985113203	0.816481535305976	0.480077998410118	0.750285608746482	0.920428264599751	0.685025218698815	0.584235087557178	0.613236412186845	0.413097936299654
S1087	0.579946236433337	0.420266634782089	0.655955338816957	0.592621831297894	0.527895545453317	0.737962381913468	0.574258358396749	0.793902683384303	0.825066302549694	0.706756078934644	0.377526507620941	0.205805814788227	0.742418687477086
S1088	0.477949212924257	0.353516403460712	0.527836813523324	0.565137164526964	0.398435800768506	0.467710534962069	0.595964820515014	0.652176485581124	0.795844612839786	0.623362016542624	0.312523786797799	0.325099595232203	0.522574788854685
S1089	0.622978114681275	0.458720814549664	0.671715263175384	0.71092275505888	0.771050467145593	0.702497892248434	0.568252615719944	0.795584006724822	0.840127170741999	0.705741921284985	0.454518054132256	0.211916179465283	0.327318968279398
S109	0.517706533155197	0.538972755007805	0.561040251798604	0.515639143470483	0.472195233524459	0.436132773378183	0.435596725366783	0.530000451843197	0.641765874116564	0.865746469381946	0.35338331508872	0.429882015362954	0.602417051047609
S1090	0.65470178355689	0.498511539357269	0.715470578882276	0.80546930792937	0.730099215093081	0.736279744790383	0.470341690548944	0.766415674021245	0.892565203402441	0.693045274669281	0.463358912776053	0.405447981621267	0.486019306078671
S1092	0.574817957014798	0.418800359505471	0.678050256078607	0.585248701864352	0.561641865459845	0.820520181431934	0.663975366113859	0.636173974428873	0.851557808005563	0.70363619569568	0.468832180057884	0	0.687747995789133
S1093	0.674264334672821	0.48933274469168	0.764903699027231	0.809779951877639	0.751316502540164	0.728773212236962	0.62548410035202	0.763851940054054	0.858486458896295	0.683986397385052	0.79182830003988	0.301638579897422	0.437091023489933
S1096	0.589489775994689	0.417196598271722	0.724040842568343	0.644703241094165	0.508499026478939	0.669765012252548	0.510573115500439	0.826113204331012	0.860499751778918	0.687683527910474	0.472571872571873	0	0.0992242048099302
